id,state_code,tenure,contract_length,promotions_offered,remaining_term,last_nps_rating,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
4951,CO,89,15,No,13,10,area_code_510,no,no,1,61.84986313,78,10.38674263,251.9579225,114,22.78225508,201.9532296,111,9.173700787,8.055125443,3,2.426975975,3,no
4952,KY,91,19,No,4,4,area_code_415,no,no,0,143.6921191,87,23.94961171,173.2170912,84,14.51173686,126.2812931,111,5.495256813,16.18250264,4,4.39566868,2,yes
4953,NY,5,18,No,15,4,area_code_415,no,yes,17,99.24942366,83,17.70071508,177.9218373,108,14.99759166,227.1061685,93,10.43491344,11.47348927,4,3.021364955,2,no
4954,WI,130,23,No,15,3,area_code_415,no,yes,38,210.2598657,95,33.16467739,190.0794699,69,15.34226448,181.0279721,92,8.308601632,9.552510118,5,2.489632827,0,no
4955,TX,91,13,No,7,10,area_code_510,no,no,2,241.5821057,91,41.50827253,93.23077991,82,8.040579151,140.5591038,117,6.546482234,7.153279255,4,2.079755661,1,no
4956,PA,51,23,No,10,9,area_code_415,no,no,1,194.7629298,85,35.46904826,144.0060763,94,12.88903785,154.265921,142,6.995353862,10.66614069,3,2.841391738,3,no
4957,OH,142,16,No,4,6,area_code_415,no,no,1,219.7307817,105,37.21292319,177.4935285,65,13.93819818,83.86002121,79,4.102067685,10.87411082,4,2.746140336,4,no
4958,TX,85,12,NO,1,3,area_code_415,no,no,1,192.0628184,77,31.61608675,190.784108,119,15.4832996,248.8029003,86,10.83651061,10.5169969,6,2.791917083,3,yes
4959,TN,127,18,No,10,8,area_code_408,no,no,0,135.9073576,92,21.1455264,203.2054667,102,17.08016795,219.0606384,104,9.940861,7.642395118,3,1.951711424,0,no
4960,WY,26,17,No,5,2,area_code_415,no,no,2,183.3653334,94,32.24562907,246.5666926,86,20.29980424,197.828948,127,9.527336291,10.63393733,5,2.859435899,0,no
4961,WV,68,12,NO,3,3,area_code_510,no,yes,32,92.19199071,60,16.58130342,305.8081249,95,26.21789543,169.0758727,121,7.392642018,6.356707658,5,1.764525144,4,yes
4962,IN,69,22,No,6,2,area_code_510,no,no,2,126.7777427,102,22.11949672,230.9823407,124,19.62578022,185.2963648,105,8.53697488,10.45326889,2,2.732224394,1,yes
4963,UT,163,9,NO,2,3,area_code_415,no,no,2,287.6812456,48,50.10181577,173.7838175,141,15.0098499,263.7401611,97,12.20963225,8.117181564,4,2.271623154,1,yes
4964,WV,121,11,Yes,3,4,area_code_415,no,no,1,252.7123592,98,43.45225539,251.4159178,109,21.37068443,142.3756824,117,6.707815609,11.05267646,4,3.220471616,1,yes
4965,DC,158,,,,,area_code_415,no,no,1,210.70775,115,35.04322178,246.2370166,74,21.05375603,113.6799306,89,4.534803649,16.69174959,5,4.576806687,2,
4966,SC,103,22,No,6,7,area_code_415,no,no,1,160.5360357,92,27.1276089,191.0562655,79,16.46179308,171.9972954,97,7.27955583,4.851330973,4,1.102987403,3,no
4967,KY,104,22,No,14,2,area_code_415,no,yes,35,167.6734246,77,27.92668991,161.842245,121,15.00608778,213.4483433,113,9.54583744,10.39138243,2,2.934876904,1,no
4968,GA,30,11,No,16,6,area_code_510,no,no,1,85.79900855,77,12.08575507,206.195614,112,18.02635482,76.16163606,75,3.324116426,9.147670114,3,2.431333006,1,no
4969,RI,130,18,Yes,2,4,area_code_415,no,yes,17,123.2885537,119,23.43883382,303.3711677,94,25.58108384,127.381551,101,5.836388667,13.50929071,7,3.605645937,1,no
4970,UT,86,20,Yes,1,4,area_code_415,no,yes,29,143.7821316,107,24.72636916,164.0397293,92,14.19088207,218.4717073,93,10.34284294,9.238773116,7,2.620861966,4,no
4971,HI,17,13,No,14,10,area_code_415,no,no,0,245.9995795,134,41.51590837,113.8411978,134,9.98162297,196.195197,107,8.087685532,16.34519396,5,4.519701606,0,no
4972,IN,144,24,No,21,6,area_code_415,no,yes,41,114.0510705,127,20.459476,278.0922884,87,23.17712955,295.1076611,125,12.8441103,12.7204802,3,3.466869331,0,no
4973,ME,64,13,No,20,10,area_code_510,no,no,1,195.7133888,87,35.41804844,242.5581925,80,20.86376232,271.5258777,85,12.15200128,9.761627652,3,2.675125351,3,no
4974,KY,153,20,No,12,9,area_code_415,no,yes,25,208.0359976,114,35.64483826,199.4393422,102,17.28963183,166.0795705,79,7.637396344,11.84385097,3,3.21329537,2,no
4975,NJ,161,15,No,24,9,area_code_415,no,no,2,107.4690629,103,18.32368488,173.4042496,70,14.79043345,183.3956667,123,8.078141513,13.10046848,4,3.540194593,0,no
4976,OK,87,9,No,2,1,area_code_415,no,no,2,259.6287069,112,42.7637371,206.8163492,51,16.96908228,263.1749292,98,12.04234985,11.52512436,5,3.094080454,3,yes
4977,SC,103,11,No,23,1,area_code_510,no,yes,31,188.2582601,96,32.53577315,198.8255299,125,17.49307529,216.3287655,95,9.197561913,10.6465613,9,2.964514056,1,no
4978,NY,104,11,No,24,2,area_code_415,no,no,3,146.0461696,96,24.82611842,193.0479081,93,16.58093831,185.4749799,86,8.16118107,11.18628774,7,3.04161623,1,no
4979,IL,16,22,No,14,8,area_code_415,no,no,1,145.2743933,78,24.75346032,123.1350381,77,10.55262594,247.2747071,111,11.20344381,6.403711513,8,1.765160989,0,no
4980,SD,54,18,No,7,10,area_code_510,no,yes,20,136.6033696,58,22.45646986,192.9164486,125,15.81235567,260.6636353,108,11.99481863,13.69965815,3,3.697581733,1,no
4981,MI,55,12,No,5,6,area_code_510,no,yes,38,163.4216616,100,29.55370589,184.8818509,95,16.57459327,235.5138512,111,10.06183484,12.67973746,9,3.254475972,2,no
4982,WI,143,9,No,9,7,area_code_415,no,no,2,129.50698,81,23.03811639,242.5405003,97,19.97347249,170.3831427,123,7.646841581,9.256093312,11,2.622748601,3,no
4983,WV,75,21,No,20,8,area_code_510,no,yes,26,191.6396416,98,32.5957269,186.1514394,65,16.05260496,238.5456809,63,11.03075438,11.51417945,4,3.142650289,0,no
4984,TX,57,17,No,6,8,area_code_510,no,no,0,188.6782413,97,30.80885208,210.7233519,89,17.38626971,185.6232677,123,8.680979668,10.50682036,8,2.746415907,1,no
4985,WV,141,13,No,6,8,area_code_408,no,yes,30,217.2752658,94,37.12975714,217.0667972,124,19.70561161,233.7230575,113,10.07786599,10.78810479,2,2.966576788,2,no
4986,ND,97,8,No,8,10,area_code_415,no,no,0,174.4494251,86,27.88505832,237.3249534,111,21.05851172,214.1211745,101,9.274572795,7.462621847,1,2.060347362,1,no
4987,AZ,129,18,No,16,8,area_code_415,no,yes,41,157.4289044,99,24.29474228,78.07625715,65,6.502098403,289.3351903,102,13.21926579,10.43523713,4,2.794688903,1,no
4988,DE,79,18,No,10,4,area_code_510,yes,no,2,248.6937856,84,43.45344607,187.23596,43,16.21830479,137.6008795,125,5.63578458,7.94139219,5,2.072982273,1,no
4989,NJ,140,22,Yes,1,5,area_code_415,no,no,1,243.9961869,89,40.58821717,227.1486508,82,19.18692978,154.2658147,97,7.006116859,11.01153005,7,3.204450439,3,no
4990,TX,45,14,No,21,7,area_code_408,no,yes,22,227.5661889,100,36.91850877,128.6174404,92,11.39440378,147.5398756,127,6.909150752,7.889033233,4,2.048086234,0,no
4991,NY,201,18,No,20,7,area_code_415,no,no,0,164.261152,86,29.09472842,257.6706815,102,22.53622676,174.3938571,90,7.701031158,5.137821356,4,1.530300193,6,no
4992,OR,58,8,No,20,7,area_code_408,no,yes,28,110.4889162,97,20.28466098,206.4675957,90,18.2971678,165.1981768,119,7.151441241,8.409039569,5,2.250175345,2,no
4993,ID,126,21,No,23,8,area_code_408,no,no,2,139.1478878,101,21.69760811,210.7235353,115,17.0311757,147.876449,108,6.669842904,18.64497888,3,5.100109547,3,no
4994,VA,89,17,No,10,8,area_code_415,no,no,3,119.0545141,77,19.07476275,238.6924012,96,20.49259571,236.3502608,123,10.0007192,11.81423089,5,3.153917106,0,no
4995,KY,122,19,No,9,7,area_code_415,no,no,1,248.2427761,94,44.07885367,213.1407962,134,17.75585285,164.9542548,83,7.31155802,12.69382205,5,3.411604684,3,no
4996,MT,182,22,No,2,9,area_code_408,no,no,2,168.2607083,106,28.32934279,243.876513,99,20.40324619,165.6686782,85,7.439521369,12.75250694,5,3.478351518,1,no
4997,WV,70,14,No,4,5,area_code_415,no,no,2,245.3927651,117,40.83710048,173.2965607,81,14.52387467,146.0637289,130,6.667412819,11.33322563,4,3.03045544,1,no
4998,MA,61,12,No,14,2,area_code_510,no,no,2,168.300416,111,28.21025484,259.0251643,125,21.68768936,196.0519469,87,8.13907644,7.681151249,0,1.782125013,5,no
4999,WI,37,19,No,15,9,area_code_510,no,yes,27,233.7606365,87,40.33261764,131.5260788,100,11.57261774,283.4952134,68,12.85620212,9.513944602,5,2.516242872,1,no
5000,AL,113,18,No,17,10,area_code_408,no,yes,34,54.08614543,98,9.345516405,197.947189,72,17.00553456,184.6449613,40,7.998498573,11.93235578,4,2.999204679,1,no
5001,UT,78,20,No,23,9,area_code_415,no,yes,33,214.6944507,129,38.33473779,204.2268201,110,17.69807339,170.7770513,89,7.202769098,10.39617572,4,2.72102118,0,no
5002,IL,97,13,No,4,8,area_code_415,no,no,1,228.4321075,74,37.32985915,187.2850377,53,15.93707846,137.5517935,95,5.835433527,13.01937596,4,3.548940139,1,no
5003,WY,106,8,No,16,9,area_code_408,no,no,1,163.519874,42,28.13012318,139.4202933,73,12.07231213,187.3672464,109,8.575367138,11.40870241,4,3.146452348,2,no
5004,NC,124,20,No,12,9,area_code_415,no,no,2,59.76227338,131,11.75028836,256.5764509,107,22.64631565,175.8529694,138,7.987094381,11.44261642,5,3.212236765,1,no
5005,CT,83,8,No,9,8,area_code_408,no,no,1,110.5156919,84,19.60256494,148.4139338,82,13.33063082,219.5668188,81,10.30052548,8.963725604,7,2.267043275,1,no
5006,AL,88,18,No,7,9,area_code_408,no,no,2,184.7498064,118,31.27546568,157.0592324,76,13.27762698,138.8779662,100,6.89564701,11.46972413,4,3.23266116,0,no
5007,NE,88,19,No,21,6,area_code_408,no,no,2,146.7691931,98,25.81620774,225.7970461,114,19.74778399,151.9245731,120,7.039993691,6.416288811,3,1.808355596,3,no
5008,NY,69,24,No,12,9,area_code_415,no,yes,30,243.125808,82,39.07301917,202.4094193,109,17.87555084,177.2028923,77,7.930561129,9.531499925,7,2.574843525,0,no
5009,NE,64,10,No,19,8,area_code_415,no,no,1,217.6964335,68,37.11364808,211.1939997,64,16.81821819,165.1951258,116,7.124232174,10.09525096,4,2.841875057,1,no
5010,MD,127,9,No,24,6,area_code_510,no,no,2,184.2907604,54,32.05793366,206.2447627,89,17.28137772,238.5367904,75,10.82988686,11.92793878,4,3.110407499,2,no
5011,NJ,124,21,No,5,9,area_code_415,no,no,0,165.5686967,134,28.36127475,150.9896946,131,12.40090894,243.753339,100,10.84584036,13.74214273,10,3.695986548,3,no
5012,MI,142,11,No,21,7,area_code_415,no,no,1,130.2956699,101,23.50901379,165.9203163,99,14.64628034,209.0007701,88,9.162888158,10.2708459,7,2.861286039,0,no
5013,IN,8,13,No,24,7,area_code_415,no,no,0,207.4180592,91,33.52042709,274.4780739,78,23.0410112,160.2647367,78,7.454698675,11.52734298,6,3.095607067,3,no
5014,LA,157,14,NO,5,3,area_code_415,no,no,1,125.8270092,109,22.19028727,204.664889,81,17.28903969,163.3985032,72,7.527938592,12.10689989,2,3.493758104,4,yes
5015,IA,111,24,Yes,3,3,area_code_415,no,no,1,273.6902772,94,46.01289422,256.8173109,105,22.18811661,207.3251734,84,9.745602865,10.53317569,4,2.748039705,1,yes
5016,NY,73,22,No,1,8,area_code_510,no,no,2,150.8511466,112,24.97748259,171.8757893,96,15.19105297,233.9800474,76,10.05177985,9.820149647,7,2.625791395,1,no
5017,RI,126,22,No,22,8,area_code_510,no,no,2,214.8341576,66,36.26528186,222.4183434,140,19.43953117,185.0127848,119,8.160940493,6.656320029,4,1.876489554,0,no
5018,NH,122,10,NO,7,4,area_code_415,yes,no,2,332.8184938,107,54.8291184,130.5490072,90,11.7766583,203.5698181,90,9.616888525,12.14331587,7,3.344270449,1,yes
5019,KS,90,20,No,14,6,area_code_408,no,no,1,272.7532675,120,47.54155024,190.2112923,83,16.43113194,268.2768926,59,12.20413109,13.30193095,6,3.617417742,3,no
5020,MS,109,20,No,5,7,area_code_510,no,yes,30,165.5162573,107,28.28239593,230.5195583,96,19.68900831,232.367822,109,10.27034233,12.7129483,9,3.442128357,0,no
5021,NC,138,17,No,14,9,area_code_510,yes,no,0,183.8941154,83,30.32710581,254.7537855,66,22.34760214,203.2265724,80,8.923506581,12.94375678,4,3.298691207,1,no
5022,TN,92,15,No,5,9,area_code_408,no,no,0,173.044827,111,29.59638879,311.9020576,124,26.52193607,135.4921772,70,6.044292716,8.04105627,5,2.295529431,1,no
5023,RI,77,21,No,15,9,area_code_408,no,yes,30,142.756217,96,26.78032708,176.4031327,129,14.23271608,147.4744072,100,6.350165514,5.358639357,9,1.562760472,3,no
5024,MI,118,19,No,23,2,area_code_415,no,yes,27,142.5025036,115,25.64430339,108.6291509,86,9.323072729,172.5202783,123,7.221201132,6.755098781,2,1.827107308,0,no
5025,CO,66,18,No,3,8,area_code_415,no,no,1,215.7470425,111,37.99893872,267.9239374,105,21.39541658,206.4734443,80,9.672259951,8.710717116,9,2.328262813,3,no
5026,MD,61,22,No,22,9,area_code_510,no,no,2,181.8966648,103,30.94858665,225.6995154,117,19.20184835,150.0724312,106,6.716062214,9.000864337,10,2.654548832,3,no
5027,LA,51,12,No,17,1,area_code_415,no,no,3,208.8481847,85,34.06377155,210.0836651,110,17.8094834,105.4746761,111,5.290350245,7.252601243,4,1.893870212,1,no
5028,CO,93,13,Yes,2,1,area_code_415,no,no,1,177.6969829,127,30.09381797,301.9574077,71,24.74105694,183.9623174,122,8.69009532,12.15317594,6,3.291282894,1,no
5029,NJ,61,24,No,19,9,area_code_510,yes,yes,31,226.6722882,78,36.52848913,185.2111008,84,16.24701861,224.8088683,85,10.62648105,9.880234151,3,2.483176898,1,no
5030,AR,54,18,No,11,8,area_code_510,no,no,1,190.517707,69,32.54011299,153.0781001,86,12.61457124,220.0931466,111,10.26516421,12.80249701,7,3.456871989,1,no
5031,VT,104,14,No,10,8,area_code_415,yes,yes,24,219.9375469,115,37.93294189,218.1141589,91,18.58068207,251.2760367,157,11.24872628,12.27289592,4,3.426756622,4,no
5032,WY,95,13,No,18,10,area_code_415,no,no,1,224.3078431,106,37.42074975,233.1462299,117,19.27208346,221.6295806,119,10.24060744,14.22567193,6,3.915317932,3,no
5033,AR,87,13,No,6,9,area_code_408,no,no,1,152.4118518,100,24.20677841,187.0874703,130,16.21467118,200.9313359,110,9.555866496,11.8610859,6,3.040058227,2,no
5034,AK,116,12,Yes,2,6,area_code_415,no,no,0,150.0729592,97,24.55169979,181.9226435,104,15.30996251,208.3952847,108,9.023481732,10.34380751,7,2.884226447,0,no
5035,MN,144,21,No,10,9,area_code_510,no,no,2,61.42010121,123,9.432401527,150.8645208,68,12.98438527,160.2384399,114,7.483356518,11.07745175,2,3.098136844,1,no
5036,TX,48,23,Yes,2,6,area_code_415,no,yes,38,168.7162851,124,29.53386732,252.6153686,111,21.42208176,215.1908662,110,9.361720862,12.8979408,2,3.454685124,2,no
5037,ND,92,16,No,16,2,area_code_415,no,yes,25,135.4745569,91,21.63059003,194.8379806,114,15.67319846,222.4020152,97,10.36310344,12.19758415,3,3.297069516,1,no
5038,PA,180,10,No,5,10,area_code_415,no,yes,24,227.9578515,79,38.21533626,197.4571778,118,16.54922943,156.3041619,105,6.927604398,10.33094083,3,2.7178305,1,no
5039,KS,116,14,No,2,7,area_code_510,no,no,1,187.0758468,86,32.0646443,220.5339527,94,19.49326845,202.1702,107,9.411962967,10.66429382,4,2.850277606,2,no
5040,ID,130,20,No,5,2,area_code_510,no,no,1,143.5960305,68,25.5276008,225.323888,109,19.03736516,120.5637745,94,6.105005936,13.63052931,4,3.772838594,3,no
5041,AL,132,23,No,21,7,area_code_415,no,no,0,242.412852,123,40.71260264,198.7528175,125,17.31032722,216.0075122,112,9.347315929,9.625734104,2,2.595806282,0,no
5042,CT,123,19,No,8,9,area_code_415,no,no,1,149.9650574,98,25.0805802,125.2232461,120,10.67912877,151.1534979,82,7.033132039,9.896902548,3,2.605469611,2,no
5043,MI,63,9,No,3,4,area_code_408,no,no,0,107.3924901,94,18.36506032,225.6193011,85,19.58036871,156.4707285,73,6.65875315,12.21968503,6,3.403647882,5,yes
5044,HI,147,16,No,8,10,area_code_415,no,no,1,265.2754176,91,46.05313002,166.2622002,124,14.80851186,140.3554578,82,6.559502973,2.857824171,4,0.575819365,3,no
5045,NM,121,16,No,7,7,area_code_415,no,yes,42,155.8212484,103,25.66978035,204.2189878,110,17.33614277,262.9217118,112,11.78186719,11.93067247,4,3.097375152,2,no
5046,NE,88,20,No,7,7,area_code_510,no,no,1,60.18918484,93,9.693564319,198.5296017,121,16.94714887,206.5532509,103,9.060871382,10.10950075,6,2.702224463,0,no
5047,NH,116,12,No,9,2,area_code_408,no,yes,19,185.1382036,116,32.46159902,204.8739965,88,17.46653415,170.5710022,124,7.767684181,10.91902616,3,2.759473186,1,no
5048,VA,66,22,No,18,6,area_code_408,no,no,2,160.1014295,123,27.90189914,179.2461031,91,14.95562579,135.4654258,92,5.983287781,7.95406176,4,1.936172126,2,no
5049,WV,139,15,No,5,9,area_code_415,no,no,0,80.20176739,98,12.3822592,266.5831434,115,21.59524278,202.7720204,121,9.029357525,10.38785433,2,2.919534958,2,no
5050,PA,126,19,No,14,2,area_code_408,yes,no,2,238.3170864,136,40.67576029,95.13127012,96,8.330272832,144.8950396,120,6.854557099,11.44173253,5,3.031284058,0,no
5051,RI,96,11,No,11,1,area_code_415,no,no,0,88.86332603,74,15.05149639,203.4681768,131,17.76833447,243.0813566,122,10.69907579,14.45013546,4,3.866547084,0,no
5052,MS,172,16,No,24,5,area_code_415,no,no,0,81.18752285,75,14.02127309,203.1579435,101,17.57813279,202.5135798,145,9.397725817,9.936371513,2,2.585243695,1,no
5053,MS,46,16,Yes,2,1,area_code_415,no,no,1,147.4943523,75,24.82175549,205.1544556,130,17.26671109,232.1836562,83,9.953467152,12.3944184,11,3.405639995,2,no
5054,MD,43,20,No,3,6,area_code_415,yes,no,1,186.8993513,99,30.79786702,218.0492063,102,19.36468699,195.8297895,123,8.125311598,9.149776997,5,2.500256228,2,no
5055,IN,165,10,No,18,4,area_code_510,no,yes,32,124.8990263,104,21.0814511,208.590509,81,17.4055226,219.4139366,62,9.817779427,5.519413258,5,1.610379739,2,no
5056,MS,67,14,NO,1,2,area_code_415,no,yes,29,80.96136815,103,13.89614668,263.7413464,85,22.83867732,226.0475993,105,10.32489916,11.8309507,2,3.065510491,6,yes
5057,WI,10,15,No,4,10,area_code_510,no,no,1,167.3641192,117,27.91443945,218.4459697,107,19.83876131,198.2629563,110,9.46370979,9.514467885,3,2.4783344,1,no
5058,ME,80,17,No,3,4,area_code_415,no,no,1,226.2415667,115,37.67597253,90.46979258,84,9.113990394,241.7840547,66,10.90415876,9.1012432,3,2.538380198,1,yes
5059,VT,200,24,No,19,8,area_code_415,no,yes,36,244.9276169,110,40.03862884,220.0832547,93,19.40413337,198.7477633,90,9.085712642,12.3298223,3,3.448864266,0,no
5060,ME,175,20,No,6,4,area_code_415,no,no,2,232.6259992,105,39.98121697,161.8554362,94,14.54988653,209.6600152,72,9.150018796,12.6612818,8,3.487537141,2,no
5061,MN,42,14,No,18,6,area_code_408,no,yes,36,132.3625222,146,22.42265021,194.7520727,110,15.56963635,167.5129967,122,7.942039742,10.40975866,5,2.763949777,0,no
5062,MS,117,20,NO,3,4,area_code_408,no,no,2,294.6575098,86,50.47306862,300.4783203,76,25.19057126,274.1145481,116,11.70615965,10.76806927,3,2.802980124,1,yes
5063,KS,161,10,No,12,8,area_code_510,no,yes,30,232.7383402,106,41.38122786,221.9293287,125,19.80505683,201.4698824,66,9.525723361,13.56275116,8,3.758812368,1,no
5064,WI,73,20,No,24,7,area_code_415,no,no,0,153.923696,108,25.94838086,258.9101046,81,22.51610332,183.5663479,80,8.694496345,12.63621895,8,3.321827383,2,no
5065,SD,132,24,No,5,7,area_code_510,no,no,3,181.360464,114,32.38299347,199.9723136,94,17.77927258,199.9563811,124,9.697663371,10.42657567,12,2.844511626,2,no
5066,AL,90,21,No,14,1,area_code_510,no,yes,40,168.4827769,94,29.45686238,120.5585188,57,9.807142965,154.794482,103,6.429290394,10.24976305,4,2.892858914,3,no
5067,CA,189,8,No,4,5,area_code_408,no,no,0,138.834174,95,22.1495956,234.1189626,112,20.21629319,175.1345394,82,7.586935976,10.72695937,5,2.927906623,1,no
5068,UT,142,18,No,3,4,area_code_415,no,no,1,161.4610985,119,28.92673517,181.1593827,107,16.40246704,173.3572411,128,7.695063322,12.24950895,6,3.470791083,1,no
5069,WV,31,13,No,17,9,area_code_510,no,no,0,172.839426,94,27.68438402,240.1131998,72,20.73241408,202.440888,65,9.434809759,9.4919391,5,2.544873174,0,no
5070,IN,88,23,No,5,2,area_code_415,no,yes,24,282.5063555,68,50.28476576,210.9596762,68,17.56328372,221.5216929,121,10.58526475,13.86997005,6,3.615543678,1,yes
5071,NY,57,20,No,21,8,area_code_510,no,no,1,245.1277993,95,39.96465142,177.2594298,133,14.91891826,176.5079249,98,7.81767725,11.92315915,5,3.007339368,1,no
5072,OR,142,14,Yes,2,6,area_code_415,no,yes,22,244.203341,62,40.60310494,162.5872974,83,15.20842249,157.4938897,111,6.65892107,11.06538354,6,3.107361307,1,no
5073,VA,178,12,No,3,6,area_code_408,no,no,1,217.4915399,94,38.71691289,247.4857387,102,21.03263731,207.4824883,106,9.437126911,10.39376141,4,2.739116593,0,no
5074,MD,92,19,No,17,5,area_code_415,no,no,1,110.7662476,116,19.41319268,134.6353354,156,10.95767224,246.552879,111,11.18931382,10.27286453,5,2.812178697,2,no
5075,WY,116,11,No,20,6,area_code_510,no,no,2,141.0739426,92,23.91872781,341.8914652,134,30.51522192,196.9640845,97,8.606245206,8.705632332,2,2.171430976,0,no
5076,OR,98,21,No,13,9,area_code_415,no,no,1,109.1100465,94,20.36341765,213.7052144,97,17.40747232,181.3383989,82,8.713569069,12.82704956,2,3.43504613,3,no
5077,WV,38,20,No,22,4,area_code_510,no,yes,27,155.7772054,98,25.83199004,187.306187,124,16.70852771,158.4264851,102,7.287447708,12.50557893,1,3.317624406,3,no
5078,MI,96,13,No,1,1,area_code_415,no,no,2,145.5008317,70,26.60879055,270.9658964,121,23.98344623,250.7117468,79,11.2909972,6.946400098,3,1.687142395,2,yes
5079,MD,134,8,No,3,1,area_code_415,yes,yes,28,181.1230316,127,30.84818874,155.6235571,97,13.45460417,156.7606166,111,6.897056146,11.34634637,6,2.991257949,0,no
5080,NM,143,17,No,18,8,area_code_415,no,no,2,152.7777371,83,26.16798475,191.2247941,116,15.75330232,146.380303,151,7.009720323,10.07388247,5,2.841999112,0,no
5081,ID,55,23,No,23,9,area_code_510,no,yes,8,223.3841543,106,37.74614517,169.7279529,99,15.06894309,379.2155417,96,17.30818936,7.655979746,2,2.079738029,2,no
5082,VT,165,21,No,7,9,area_code_510,no,no,1,237.6249006,126,39.84785865,200.3175748,66,17.1080479,218.6699809,126,9.91128256,0.032854688,1,0.103756473,1,no
5083,DE,111,13,No,17,10,area_code_415,no,no,1,172.8340237,133,29.68270306,249.3056152,107,20.02602492,205.2934785,105,9.166133151,15.78815477,5,4.157580715,0,no
5084,WA,97,9,No,19,8,area_code_510,no,no,0,127.8023365,94,22.44644085,190.3954855,61,15.28148658,243.8956935,131,10.82925296,11.12687244,6,2.988388333,1,no
5085,WI,76,24,No,3,4,area_code_415,no,yes,33,171.6951426,89,29.37394367,196.1133726,86,16.61614992,336.492629,107,15.69259314,9.372201424,8,2.618264526,2,no
5086,WI,193,17,No,5,10,area_code_408,no,yes,13,198.626951,81,34.38453362,271.5291409,103,23.26619819,146.3684596,113,6.331987736,12.20313915,5,3.242270972,0,no
5087,NJ,61,14,NO,5,3,area_code_408,no,no,1,281.4110629,101,50.6275863,265.5845254,114,21.96796591,248.0387868,71,11.38835484,11.53052185,4,3.091527755,2,yes
5088,OH,96,16,No,13,9,area_code_415,no,no,1,186.5508517,140,30.46393061,188.5102495,109,16.78526608,186.6955715,103,8.180154997,6.762515648,3,1.857788882,0,no
5089,ME,33,16,No,8,9,area_code_510,no,yes,17,135.2703341,57,22.8760611,248.5315813,136,20.57917803,231.1732723,109,10.30698813,12.89583206,2,3.349141232,0,no
5090,SC,209,24,No,7,3,area_code_510,no,no,1,258.3261602,132,44.01732458,231.3899122,107,19.34573079,230.2537894,64,10.60916134,8.960881985,6,2.268334719,3,yes
5091,LA,93,21,No,13,6,area_code_415,no,no,1,223.9462611,92,37.74340032,193.3673853,91,16.68114809,354.3410481,95,15.57278613,8.891799459,6,2.369631428,3,no
5092,TX,118,23,No,3,2,area_code_510,no,no,0,72.6437559,103,12.19353155,256.0806078,118,22.77760664,146.9715981,96,7.056930475,14.55237842,1,4.015649993,2,yes
5093,WY,49,10,No,13,8,area_code_408,no,no,2,150.1171265,89,25.46552981,259.3755608,115,22.34464157,51.19081981,117,1.934262596,8.458646494,12,2.214778394,1,no
5094,NH,82,18,No,20,7,area_code_415,no,,0,233.0391228,69,41.34353658,211.8961939,82,17.45829561,220.073844,78,10.38856953,12.12213556,2,3.30902264,2,no
5095,NC,136,14,No,14,6,area_code_510,no,no,2,188.8024673,103,31.16904195,160.0249252,61,13.66739174,202.8757242,80,8.990787479,9.63120716,10,2.483873071,1,no
5096,NM,147,14,No,23,7,area_code_408,no,no,1,147.725154,143,23.9254612,254.884835,86,22.06701506,226.7550781,102,10.30960069,9.199920908,4,2.547457659,2,no
5097,ID,95,20,No,12,4,area_code_415,no,no,1,150.9290226,93,24.71246372,215.7416981,75,19.6310573,231.8172798,78,10.54854019,7.141481628,7,1.890931643,1,no
5098,FL,102,23,No,12,9,area_code_408,no,no,0,93.45983418,131,17.61796712,240.4591654,93,19.91209488,205.8038104,106,9.236577041,10.8036972,16,2.811031973,3,no
5099,IN,90,12,NO,4,2,area_code_408,no,no,0,153.0263553,102,26.48836767,146.8714845,101,13.31330478,188.3724266,85,8.231926027,8.580244947,5,2.286853553,4,yes
5100,AL,102,15,No,11,7,area_code_415,no,no,1,132.3574533,101,21.36070075,187.2955973,110,15.72497708,239.3000706,75,11.07049802,12.4081499,8,3.441831852,2,no
5101,IA,97,10,No,4,6,area_code_415,no,no,0,124.3520868,112,22.06375634,178.736431,116,13.98221711,178.1777118,121,8.481407805,9.095451656,7,2.556814341,0,no
5102,VA,96,23,No,2,9,area_code_415,no,no,2,207.1124728,113,33.42609266,237.807351,106,20.00886452,214.6639029,105,9.27413861,16.68952928,9,4.520976998,1,no
5103,IA,156,21,Yes,2,3,area_code_415,no,no,2,246.7522091,111,43.21330548,258.4558866,77,22.48736981,269.7037796,45,11.65416811,7.894407033,4,2.024321757,5,yes
5104,AZ,67,15,No,7,5,area_code_415,no,no,3,197.0507378,116,34.95936749,186.002531,85,15.46911313,144.7428713,79,6.683683321,13.8569095,7,3.564937526,1,no
5105,NE,37,19,No,8,1,area_code_415,no,no,1,90.01961245,128,17.03070947,256.6071151,79,22.60249352,96.54281523,102,3.826584076,7.716003873,6,1.850391352,1,no
5106,UT,93,22,No,20,5,area_code_510,no,yes,28,155.4264621,69,25.16180252,174.1547098,109,15.04239473,170.5545676,68,7.760139091,12.75486039,9,3.25193778,1,no
